"b","loglik","loglik.se","delta.loglik","cea","cel","cpa","mu_A","mu_L","tau_E","tau_L","tau_P","od"
0.94,-7394.68494160342,0.477577893367107,-7394.68494160342,0.0154812628259143,0.0225211394521213,0.0458260195763056,5.41602968732061e-05,4.65538956590732e-05,11.4808034349244,12.134911146868,17.35325767878,1.5394235272099
0.95,-7398.39799477786,0.454354941034336,-7398.39799477786,0.0172800312465447,0.0246029739844211,0.0460051356174118,0.000128478784215862,0.000394013793875596,12.1691243626505,12.056607190294,18.5805790894676,1.56440305298436
0.96,-7396.43148572715,0.19294637242962,-7396.43148572715,0.0170618472984606,0.0231701830930911,0.0405924189512519,5.47431776168178e-05,0.00018835072894215,10.7549408706494,12.3761431947907,17.7899100218201,1.61469075886963
0.97,-7399.96530980201,0.172041757786557,-7399.96530980201,0.016219677422771,0.0223473440686163,0.0526887777622353,5.24291665540494e-05,0.000431783306334998,10.8785285024984,12.3654424309515,16.9980502835064,1.6696897181712
0.98,-7397.97658267856,0.642101198880109,-7397.97658267856,0.0157729166730203,0.0231957617031399,0.0522215419844905,0.000298184021108113,0.000375819469232079,11.1644842109312,12.7135959639549,18.3690659505692,1.59455253499164
0.99,-7396.07894350759,0.193018396952871,3.87510664887486,0.0173165988829474,0.0237858798626048,0.0453009221247207,4.10459646021209e-05,0.000141955860673467,10.3676008899655,12.6111126480034,17.508238338276,1.57605467272591
1,-7397.91352374784,0.249897665138623,2.18199239147907,0.0158803233639706,0.02229303742744,0.0561236716795405,8.00614564846617e-05,0.00328394813137117,12.2339643812251,11.8686167775196,18.0111017780221,1.56926642015498
1.01,-7396.81831977225,0.198250787679386,-0.630123168899445,0.0165753291610952,0.0213540237165265,0.0646929525946442,7.6650299459726e-06,1.91227325326787e-06,10.9810797643481,12.4968472181188,19.4044670417603,1.6190204120055
1.02,-7396.22862069662,0.227130826113455,2.37312094165736,0.0145033106147114,0.0247825883057536,0.0516967743759182,4.77404154003568e-05,0.000398075391072512,11.9407457610123,12.2167723826981,19.0123560598025,1.54816957980307
1.03,-7396.5766777361,0.126822668157954,0.572185875722425,0.0197898027875815,0.0160854996320336,0.018337070647342,1.73347261296981e-07,0.164529311496439,13.1068396491455,12.7133160259193,34.2545110141486,1.63275938124319
1.04,-7396.84608003261,0.175017604806034,-7396.84608003261,0.0208203483027541,0.00891533916258491,0.0165436978628003,9.39230962373295e-05,0.206100322900499,13.4081933437093,12.207132787747,39.3113291713188,1.63292182913052
1.05,-7398.18230442363,0.112421783539124,-2.36625596342856,0.0197024821084036,0.00871331660319032,0.0150694618068015,2.71523067813741e-06,0.208832679097525,14.3612970320097,11.3189987186639,38.6239815336032,1.61648946162372
1.06,-7395.90198795098,0.207556583413351,1.12074277426746,0.0157529962746079,0.0244241345291203,0.0387554212285559,3.42183536772655e-06,0.0033433032764376,12.2491840944625,11.7995494909448,16.4640903683594,1.53297126726546
1.07,-7396.94685943228,0.142265835191005,-7396.94685943228,0.0212391605333675,0.0116738736542789,0.0127798852129534,0.000273316855926667,0.201328774706179,12.0601555660043,12.7656131431394,39.4131779441387,1.59448585226448
1.08,-7399.97283707487,0.121645327876164,-7399.97283707487,0.0175251981281714,0.0115301388917311,0.0123135231036833,0.000855772936849348,0.218930920254015,13.5444191529732,12.2255619532901,40.0761328020507,1.64270298863314
1.09,-7396.46448700723,0.20206177962702,-7396.46448700723,0.0225503504445337,0.0124741579525836,0.0224087767205673,7.44184471070084e-05,0.164023302434992,12.7770062093624,12.8738544602038,35.3438996600358,1.61745558580309
1.1,-7395.79118531529,0.175990686208066,0.945389641447036,0.0218549413071896,0.012333153475445,0.0170589857065488,2.14823305801187e-05,0.200646852904917,13.0084222604603,12.2579047538893,37.83265745508,1.54328510569311
1.11,-7395.88027073139,0.231055558368285,-7395.88027073139,0.019681284951626,0.0112855982950512,0.0126967782033218,0.000186623035772732,0.21367447574549,12.7573057786532,12.236915775164,39.8304532085576,1.62038729757417
1.12,-7397.21204557679,0.105082524571184,-0.47179292943747,0.018760598980072,0.017466974672555,0.012284770897713,6.36600219925022e-06,0.193345199001322,12.3237500793718,12.7779032265485,41.777849474881,1.59489177642785
1.13,-7396.13074533629,0.118472774256899,-7396.13074533629,0.0218816778239053,0.0121941785972087,0.0183872618710203,0.000204157048424527,0.189783747433349,12.449251620332,12.6279454006493,39.3363925197932,1.49804433033229
1.14,-7394.98115140311,0.098923620236222,3.03239258236863,0.0202776639284417,0.0161864376689672,0.0167960766857906,6.73176874743618e-06,0.178761403456866,13.1037621140715,12.7512322033089,40.1135222235081,1.58758621054871
1.15,-7395.49412745937,0.157144839400286,-7395.49412745937,0.0183731454475797,0.014964193610084,0.0103392388738229,8.67580740758686e-06,0.204922211233945,13.8290535397863,13.3501749802895,37.6564169538143,1.57692474230193
1.16,-7395.66822926656,0.150244266586049,2.13136002320243,0.020658915013563,0.0153281845871831,0.0180823523317567,1.04659271381365e-05,0.168009763017391,14.3320998270403,13.5812907680852,35.4029440422811,1.58940529487324
